objectid,year,state,agency,unit_id,fire_name,inc_num,alarm_date,cont_date,cause,comments,report_ac,gis_acres,c_method,objective,fire_num,shape_length,shape_area
2503,1950,CA,CDF,TGU,MANTON,0,1950-08-18,,14,,,972.145324707031,,1,140,10378.5603195419,3934132.55668095
3584,1950,CA,CDF,TCU,SIX MILE CREEK,0,1950-08-18,,14,,,540.655212402344,,1,57,6483.94782179697,2187954.0257647
5157,1950,CA,CDF,LNU,PUBLIC DOMAIN #1,0,1950-08-18,,14,,,618.247741699219,,1,52,8020.73614522767,2501959.78970166
5163,1950,CA,CDF,TCU,RILEY,0,1950-08-18,,14,,,365.860748291016,,1,54,5795.28738490916,1480585.92836528
7351,1950,CA,CDF,TCU,DOGTOWN #2,0,1950-08-18,,14,,,129.585845947266,,1,56,2818.27562183262,524415.31650308
8560,1950,CA,CDF,SHU,BACKBONE #2,0,1950-08-18,,14,,,2019.05126953125,,1,228,12026.5957294459,8170810.41266202
8581,1950,CA,CDF,FKU,ROOT,0,1950-08-18,,14,,,384.191741943359,,1,426,5295.26636594285,1554768.81169869
2510,1950,CA,CDF,HUU,C.W.SYPHERS #3,0,1950-08-19,,14,,,1654.08471679688,,1,94,11123.9046929232,6693843.17498359
2511,1950,CA,CDF,NEU,CAMP BEALE,0,1950-08-19,,14,,,669.484924316406,,1,92,10934.4759055965,2709309.41846342
2514,1950,CA,CDF,TCU,CARSON FLAT,0,1950-08-19,,14,,,2660.08520507812,,1,61,19579.1913269139,10764982.9595417
5156,1950,CA,CDF,TCU,POOL,0,1950-08-19,,14,,,344.839874267578,,1,62,5301.70409262518,1395517.50789231
5204,1950,CA,USF,SQF,KING GEORGE,0,1950-08-19,,9,,,787.997192382812,,1,68,8972.77989871529,3188911.4766911
7363,1950,CA,CDF,HUU,JAMES BRIDGES,0,1950-08-19,,14,,,463.834747314453,,1,92,5824.12644684164,1877072.58204976
7612,1950,CA,CDF,MEU,N.W.P.RR NO.14,0,1950-08-19,,14,,,191.531387329102,,1,177,4683.11287574373,775100.042984578
7353,1950,CA,CDF,HUU,EDWARD HELM,0,1950-08-20,,14,,,5047.44580078125,,1,96,19171.3227529852,20426287.7132498
8569,1950,CA,CDF,SHU,SYLVESTER,0,1950-08-20,,14,,,1727.12084960938,,1,254,10894.8934382677,6989410.14350152
7613,1950,CA,CDF,MEU,N.W.P.RR NO.15,0,1950-08-21,,14,,,1880.78833007812,,1,184,12093.3604400965,7611280.13276382
8567,1950,CA,CDF,SHU,NORTON GULCH,0,1950-08-21,,14,,,1273.42687988281,,1,257,11623.8424989706,5153375.75590182
