index,time,latitude,longitude,varianceFlagged-v1_1,q05,maxDays,days at or above 32 deg,minDays,q95
58558,2018,22.625,88.375,0,212.56201904761903,232.27092190476193,241.90452380952382,246.79548500881836,253.37799999999984
58559,2019,22.625,88.375,0,211.60013333333333,232.943939047619,242.4759523809524,248.57142857142856,254.95852380952368
58560,2020,22.625,88.375,0,210.2096761904762,231.34923809523806,241.95214285714286,248.2036920634921,255.22871428571426
58561,2021,22.625,88.375,0,209.68586666666667,230.8772876190476,242.38068027210883,248.15645170068024,256.55409523809516
58562,2022,22.625,88.375,0,210.43826666666664,235.40609047619046,242.2517006802721,249.5251364916146,257.9039047619047
58563,2023,22.625,88.375,0,212.13354285714283,236.34928095238087,243.45653817082385,250.9520741012772,258.2217142857143
58564,2024,22.625,88.375,0,212.9906857142857,236.96306475531387,245.28008734357937,251.6801387358714,260.1661428571428
58565,2025,22.625,88.375,0,212.31451428571427,236.44393408589596,244.76190476190484,251.89166731542755,261.4121904761904
58566,2026,22.625,88.375,0,216.0288,235.9521476190476,245.76190476190484,252.8567542857143,262.53885714285707
58567,2027,22.625,88.375,0,215.60022857142852,237.40332698412698,246.90476190476193,254.42766476190477,264.2247380952381
58568,2028,22.625,88.375,0,217.94306666666665,237.1720444444444,246.19047619047615,255.75912000000002,266.35604761904756
58569,2029,22.625,88.375,0,220.40975238095243,238.62173847316703,247.3809523809524,256.7578895238095,267.82059523809517
58570,2030,22.625,88.375,0,219.6193333333333,239.04713529856383,248.2023809523809,257.87774666666667,268.7854761904762
58571,2031,22.625,88.375,0,218.14323809523808,240.28045714285716,248.58935259497056,257.5671542857143,269.3173333333333
58572,2032,22.625,88.375,0,215.40994285714282,242.53974149659862,248.78080120937258,255.5115,271.24973809523806
58573,2033,22.625,88.375,0,214.87662857142854,243.39689523809525,248.91156462585036,258.3805116905374,271.5475714285714
58574,2034,22.625,88.375,0,214.72426666666664,243.5079714285714,250.4523809523809,261.49211408985184,271.297119047619
58575,2035,22.625,88.375,0,215.04809523809516,242.9174933333333,251.2190476190476,262.2726819774232,270.29692857142857
58576,2036,22.625,88.375,0,213.70525714285716,243.11219428571425,251.6095238095238,263.9774241758242,270.78509523809515
58577,2037,22.625,88.375,0,215.01007619047616,243.84764190476193,252.20666666666665,265.0764249084249,271.2536507936508
